;merk;model;jaar;land;brandstof;aandrijving;topsnelheid;acceleratie100;maxvermogen;maxkoppel;massaleeg;beoordeling;continent
1;Zeekr;001 Privilege AWD;2023.0;China;elektrisch;4;200.0;3.8;400.0;686.0;2350.0;4.0;Azie
2;Porsche;718 Spyder RS;2023.0;Duitsland;benzine;R;308.0;3.4;368.0;450.0;1410.0;4.5;Europa
3;Donkervoort;F22;2023.0;Nederland;benzine;R;290.0;2.5;367.0;640.0;750.0;;Europa
4;Maserati;MC20 Cielo;2023.0;Italie;benzine;R;325.0;2.9;462.0;730.0;1540.0;;Europa
5;Alfa Romeo;SZ;1989.0;Italie;benzine;R;245.0;7.2;155.0;245.0;1260.0;;Europa
6;Lancia;Hyena Zagato;1992.0;Italie;benzine;4;250.0;5.4;184.0;308.0;1148.0;;Europa
7;TVR;Tuscan Speed Six;2003.0;VK;benzine;R;290.0;4.2;257.0;434.0;1100.0;;Europa
8;Kia;Niro 1.6 Gdi Plug-In Hybrid DCT6;2023.0;Korea;hybride;F;168.0;9.6;134.0;265.0;1494.0;4.0;Azie
9;Toyota;Prius 2.0 Plug-In Hybrid Dyn.;2023.0;Japan;hybride;F;177.0;6.8;164.0;208.0;1520.0;4.0;Azie
11;Fiat;600e;2023.0;Italie;elektrisch;F;150.0;9.0;115.0;260.0;1420.0;4.0;Europa
15;Porsche;911 Sport Classic;2023.0;Duitsland;benzine;R;315.0;4.1;405.0;600.0;1545.0;;Europa
16;Pininfarina;Battista;2023.0;Italie;elektrisch;4;357.0;1.9;1380.0;2363.0;2302.0;;Europa
17;Rover;SDI 3500 Convertible;1977.0;VK;benzine;R;203.0;9.7;117.0;272.0;1471.0;;Europa
18;Volkswagen;Passat LS;1973.0;Duitsland;benzine;F;160.0;13.5;55.0;114.0;860.0;;Europa
19;Honda;ZR-V E:HEV Full Hybrid Advance;2023.0;Japan;hybride;F;173.0;8.0;105.0;186.0;1610.0;4.0;Azie
20;Toyota;RAV4 2.5 Hybrid Exclusive;2023.0;Japan;hybride;F;160.0;8.4;131.0;221.0;1585.0;3.5;Azie
21;Peugeot;307 CC 2.0-16V;2006.0;Frankrijk;benzine;F;206.0;11.3;103.0;200.0;1473.0;;Europa
22;Volkswagen;Eos 1.4 16V TSI Highline;2011.0;Duitsland;benzine;F;215.0;8.8;118.0;240.0;1447.0;;Europa
23;Mercedes-Benz;CLS 450 4matic;2018.0;Duitsland;benzine;4;250.0;4.8;270.0;500.0;1840.0;;Europa
24;Renault;Megane E-Tech EV60 220pk Optimum Charge Iconic;2023.0;Frankrijk;elektrisch;F;160.0;7.4;160.0;300.0;1611.0;;Europa
25;Rimac;Nivera;2023.0;Kroatie;elektrisch;4;412.0;1.8;1352.0;2360.0;2300.0;4.5;Europa
26;Xpeng;G9 AWD Performance;2023.0;China;elektrisch;4;200.0;3.9;405.0;717.0;2340.0;3.5;Azie
28;Ferrari;296 GTS;2023.0;Italie;hybride;R;330.0;2.9;610.0;740.0;1540.0;;Europa
30;Alfa Romeo;33;1983.0;Italie;benzine;F;170.0;11.3;62.5;121.0;890.0;;Europa
31;Mercedes-Benz;EQB 250+ Luxury Line;2023.0;Duitsland;elektrisch;F;160.0;8.5;140.0;385.0;2015.0;3.5;Europa
32;Volkswagen;ID.Buzz Pro;2023.0;Duitsland;elektrisch;R;145.0;9.7;150.0;310.0;2359.0;4.0;Europa
33;Hyundai;Tucson 1.6 GDi Premium;2016.0;Korea;benzine;F;182.0;11.5;97.0;161.0;1400.0;;Azie
34;Rolls-Royce;Spectre;2023.0;VK;elektrisch;4;250.0;4.5;430.0;900.0;2860.0;4.5;Europa
35;Maserati;Gran Turismo Trofeo;2023.0;Italie;benzine;4;320.0;3.5;410.0;650.0;1795.0;4.0;Europa
36;Maserati;Gran Turismo Folgore;2023.0;Italie;elektrisch;4;325.0;2.7;560.0;1350.0;2260.0;4.0;Europa
37;Alpine;A110 R;2023.0;Frankrijk;benzine;R;285.0;3.9;221.0;340.0;1082.0;;Europa
38;Porsche;Cayman;2023.0;Duitsland;benzine;R;275.0;4.9;221.0;380.0;1340.0;;Europa
39;Alfa Romeo;Giulia Quadrifoglio;2023.0;Italie;benzine;R;307.0;3.9;382.0;600.0;1595.0;;Europa
40;Morgan;Super 3;2023.0;VK;benzine;R;209.0;7.0;87.0;150.0;635.0;;Europa
42;Kia;EV6 GT;2023.0;Korea;elektrisch;4;260.0;3.5;430.0;740.0;2100.0;;Azie
43;BMW;850 Csi;1993.0;Duitsland;benzine;R;250.0;6.0;280.0;550.0;1865.0;;Europa
44;BMW;iX1 xDrive30;2023.0;Duitsland;elektrisch;4;180.0;5.6;280.0;494.0;2010.0;3.5;Europa
